排名,标题,热度,种类
1,关注本轮疫情最新进展,1221.9,null
2,大理苍山13名失联人员全部找到,1221.8,null
3,上海宣布明起分阶段复商复市,1119.5,"""新"""
4,多措并举支持高校毕业生就业创业,1022.9,null
5,31省新增本土226+1492,918.6,"""新"""
6,大车轮胎脱落狗子被追的狂跑,814.1,"""热"""
7,爱心泡泡特效太绝了,740.8,"""首发"""
8,乌方称战争转折点将在8月出现,731.6,"""新"""
9,上海新增本土166+1203,722.3,null
10,北京4起聚集性疫情105人感染,711.3,null
11,消防安全注意事项,701.2,"""热"""
12,快手达人给你讲抽烟的危害,686.2,"""热"""
13,牛仔很忙变装,683,"""热"""
14,袁隆平爷爷收养的小猫走丢后找回,676.2,"""热"""
15,女子带狗核酸未牵绳被指责后大骂,669.1,null
16,印度宣布禁止小麦出口,656.8,null
17,男子下跪称交不起房租想进方舱,655.6,null
18,勇士淘汰灰熊晋级西部决赛,655.6,"""首发"""
19,没有耳洞还能这样戴耳钉,655.4,"""热"""
20,马路上撞到人这样说,645.8,"""热"""
21,老师为鼓励学生用200元做标记,644.1,null
22,国家航天局入驻快手,641.3,"""独家"""
23,七国集团承诺继续对乌提供支持,638.4,null
24,中国海警在钓鱼岛领海内巡航,630.9,null
25,冷门但实用的p图小技巧,628.5,"""热"""
26,种植罂粟花一株也违法,619.3,null
27,游戏人也来上分了,617.3,"""热"""
28,被哭脸特效整笑了,614.2,"""首发"""
29,男子贪玩从瀑布高处滑落受伤,612.4,null
30,魔性duidui舞,612.3,"""热"""
31,驾驶员被卷入车底路人协力抬车救人,606.5,null
32,大理苍山失联13人全部安全,605.4,null
33,我是云南的原创完整版,603.5,"""热"""
34,尤伯杯中国队亚军,602.6,null
35,普京称俄乌谈判实际上已暂停,599.2,"""新"""
36,可爱比心舞,596.4,"""新"""
37,RNG小组赛全胜,595.5,null
38,秦国良任长沙市望城区委书记,592.4,null
39,浅尝一下明星走红毯的感觉,591.2,null
40,韩剧流星好上头,589.4,null
41,俄罗斯打击乌克兰炼油厂,589.1,null
42,上海回应投放消毒片致身体不适,589,null
43,警方通报妻子持刀砍伤丈夫致死,587.9,"""热"""
44,和平精英港风乐舞变装,587.6,null
45,江西新增2例本土无症状,587,"""新"""
46,巧克力面条挑战,586.2,"""首发"""
47,这是真灰熊球迷,584.4,"""新"""
48,癌症晚期男子上海求医被困,584.1,"""新"""
49,专家建议给受疫情影响百姓发现金,581.9,null
50,王者荣耀520孙策大乔皮肤爆料,581.6,null
