排名,标题,热度,种类
1,关注本轮疫情最新进展,1219.5,null
2,北京健康宝遭受境外网络攻击,1203.2,"""新"""
3,英大臣称中国不守规则将面临后果,1100.1,null
4,上海新增阳性病例迎来6连降,1020.5,null
5,宅家就能练的懒人瘦身动作,938.6,"""热"""
6,谁说乌龟跑得慢,918.1,"""热"""
7,北京新增本土感染者56例,900.7,null
8,上海一高校回应学生盒饭虫卵异物,882.5,"""新"""
9,是时候更新一下你的表情包了,863.1,"""热"""
10,糖蒜好吃有诀窍,859.3,"""热"""
11,装修一定要避开的那些坑,840.7,"""热"""
12,如何成为一名国际超模,830.6,"""首发"""
13,科目六挑战,827,"""首发"""
14,31省新增本土1494+9791,825.7,null
15,轮播照片墙到底有多火,807,"""热"""
16,科目合集大挑战,805,"""热"""
17,这就是疫情结束的底气,802.7,"""热"""
18,竹笋的神仙吃法,801.7,null
19,杨梅的花样吃法,792,"""热"""
20,隔离餐大比拼,791.8,null
21,上海当地疫情情况如何,781.1,"""热"""
22,劳动者一定要知道的法律知识,779.1,"""独家"""
23,街道办回应女子做法事驱赶新冠,774.7,null
24,在谁的怀中会有感觉,773.6,null
25,官方回应女子糖葫芦货架被强拆,769,null
26,任子威的暴汗直播间,765.6,"""独家"""
27,全家都爱的开胃菜,762,"""热"""
28,上海昨日新增本土死亡47例,756.3,null
29,不被定义文学,755,"""热"""
30,男子疑被做核酸吵到拿刀冲向大白,750.5,"""新"""
31,埃博拉病毒有多可怕,750.5,"""热"""
32,最炫民族风舞蹈挑战,749.4,"""热"""
33,教你做花样龙须酥,748.6,"""热"""
34,李大钊英勇就义95周年,740.7,null
35,错换人生28年案一审宣判,740.2,null
36,酷盖防疫口罩你还没有吗,738.9,"""独家"""
37,上海抗疫日记,737.9,"""首发"""
38,想要这样的对象难吗,737.7,"""独家"""
39,重生之门反派智商,737.4,"""热"""
40,小拇指深情测试,730.9,null
41,澳大利亚有什么资格对中国划红线,730.4,null
42,俄连射导弹摧毁美欧援乌武器,728.8,"""热"""
43,潘中单人传人现象,724.7,"""热"""
44,谁能拒绝张真源送的花,722.6,"""热"""
45,如何看病危少女捐器官前被救回,717.1,"""热"""
46,如何做出高颜值的治愈系美食,716.7,"""热"""
47,听清楚庄文杰听的是哪首周杰伦了,713.2,null
48,神舟十三号飞船返回舱开舱,711.1,null
49,劳动节不误农时,707.3,"""热"""
50,不要往下水道倒消毒液,706.4,"""热"""
